# 频道聚合播放源
# 时间: 20260826_121750
# 频道数: 52, 播放源总数: 177
# 格式: 台名 | 分组 | 主/备 | URL | 分辨率 | 码率
#

# [央视频道] CCTV-1综合
CCTV-1综合 | 央视频道 | 主 | http://111.59.24.227:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 448kbps
CCTV-9纪录 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/10/live.m3u8 | 1920x1080 256kbps
CCTV-9纪录 | 央视频道 | 备 | http://58.56.162.102:4466/newlive/live/hls/10/live.m3u8 | 1920x1080 256kbps
CCTV-9纪录 | 央视频道 | 备 | http://221.7.175.154:8445/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-9纪录 | 央视频道 | 备 | http://112.46.85.60:8009/hls/509/index.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-10科教
CCTV-10科教 | 央视频道 | 主 | http://113.57.140.161:10081/newlive/live/hls/11/live.m3u8 | 1920x1080 448kbps
CCTV-10科教 | 央视频道 | 备 | http://58.56.162.102:4466/newlive/live/hls/11/live.m3u8 | 1920x1080 256kbps
CCTV-10科教 | 央视频道 | 备 | http://221.226.51.220:50081/newlive/live/hls/11/live.m3u8 | 1920x1080 256kbps
CCTV-10科教 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/11/live.m3u8 | 1920x1080 256kbps
CCTV-10科教 | 央视频道 | 备 | http://182.150.23.74:808/hls/10/index.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-11戏曲
CCTV-11戏曲 | 央视频道 | 主 | http://112.123.243.37:50085/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0 | 1920x1080 256kbps
CCTV-11戏曲 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/12/live.m3u8 | 1920x1080 256kbps
CCTV-11戏曲 | 央视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/12/live.m3u8 | 1920x1080 256kbps
CCTV-11戏曲 | 央视频道 | 备 | http://113.57.140.161:10081/newlive/live/hls/12/live.m3u8 | 1920x1080 192kbps
CCTV-11戏曲 | 央视频道 | 备 | http://drive.mxmy.net:8888/udp/239.3.1.152:8120 | 1920x1080 256kbps

# [央视频道] CCTV-12社会与法
CCTV-12社会与法 | 央视频道 | 主 | http://222.223.41.27:8888/hls/12/index.m3u8 | 1920x1080 256kbps
CCTV-12社会与法 | 央视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/13/live.m3u8 | 1920x1080 256kbps
CCTV-12社会与法 | 央视频道 | 备 | http://221.7.175.154:8445/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-12社会与法 | 央视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-12社会与法 | 央视频道 | 备 | http://58.56.162.102:4466/newlive/live/hls/13/live.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-13新闻
CCTV-13新闻 | 央视频道 | 主 | http://221.7.175.154:8445/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-13新闻 | 央视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/14/live.m3u8 | 1920x1080 256kbps
CCTV-13新闻 | 央视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-13新闻 | 央视频道 | 备 | http://223.78.65.165:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-13新闻 | 央视频道 | 备 | http://61.136.172.236:9901/tsfile/live/0013_1.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-14少儿
CCTV-14少儿 | 央视频道 | 主 | http://58.56.162.102:4466/newlive/live/hls/15/live.m3u8 | 1920x1080 256kbps
CCTV-14少儿 | 央视频道 | 备 | http://112.123.243.37:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0 | 1920x1080 256kbps
CCTV-14少儿 | 央视频道 | 备 | http://182.150.23.74:808/hls/14/index.m3u8 | 1920x1080 256kbps
CCTV-14少儿 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/15/live.m3u8 | 1920x1080 256kbps
CCTV-14少儿 | 央视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/15/live.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-15音乐
CCTV-15音乐 | 央视频道 | 主 | http://58.56.162.102:4466/newlive/live/hls/16/live.m3u8 | 1920x1080 256kbps
CCTV-15音乐 | 央视频道 | 备 | http://113.57.140.161:10081/newlive/live/hls/16/live.m3u8 | 1920x1080 256kbps
CCTV-15音乐 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/16/live.m3u8 | 1920x1080 256kbps
CCTV-15音乐 | 央视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/16/live.m3u8 | 1920x1080 256kbps
CCTV-15音乐 | 央视频道 | 备 | http://gmxw.7766.org:808/hls/102/index.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-16奥林匹克
CCTV-16奥林匹克 | 央视频道 | 主 | http://113.57.140.161:10081/newlive/live/hls/17/live.m3u8 | 1920x1080 256kbps
CCTV-16奥林匹克 | 央视频道 | 备 | http://58.56.162.102:4466/newlive/live/hls/17/live.m3u8 | 1920x1080 256kbps
CCTV-16奥林匹克 | 央视频道 | 备 | http://183.11.239.36:808/hls/169/index.m3u8 | 1920x1080 256kbps
CCTV-16奥林匹克 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/17/live.m3u8 | 1920x1080 256kbps
CCTV-16奥林匹克 | 央视频道 | 备 | http://gmxw.7766.org:808/hls/169/index.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-17农业农村
CCTV-17农业农村 | 央视频道 | 主 | https://live.264788.xyz/channel/cctv17?streamid=f9c36f1e95b5b35eac89cc89583e7c0a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk | 1920x1080 8334kbps
CCTV-17农业农村 | 央视频道 | 备 | http://120.238.84.45:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 448kbps
CCTV-17农业农村 | 央视频道 | 备 | http://113.90.154.189:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-17农业农村 | 央视频道 | 备 | http://221.7.175.154:8445/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-17农业农村 | 央视频道 | 备 | http://123.130.84.106:8154/tsfile/live/0019_1.m3u8 | 1920x1080 256kbps

# [卫视频道] 湖南卫视
湖南卫视 | 卫视频道 | 主 | http://218.13.170.98:9901/tsfile/live/1001_1.m3u8 | 1920x1080 256kbps
湖南卫视 | 卫视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/30/live.m3u8 | 1920x1080 256kbps
湖南卫视 | 卫视频道 | 备 | http://182.150.23.74:808/hls/21/index.m3u8 | 1920x1080 256kbps
湖南卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/30/live.m3u8 | 1920x1080 256kbps
湖南卫视 | 卫视频道 | 备 | http://www.yao87.com:4022/udp/239.76.246.101:1234 | 1920x1080 256kbps

# [卫视频道] 浙江卫视

# [卫视频道] 江苏卫视
江苏卫视 | 卫视频道 | 主 | http://58.56.162.102:4466/newlive/live/hls/31/live.m3u8 | 1920x1080 256kbps
江苏卫视 | 卫视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/31/live.m3u8 | 1920x1080 256kbps
江苏卫视 | 卫视频道 | 备 | http://113.57.140.161:10081/newlive/live/hls/31/live.m3u8 | 1920x1080 256kbps
江苏卫视 | 卫视频道 | 备 | http://218.13.138.139:59901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
江苏卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/31/live.m3u8 | 1920x1080 256kbps

# [卫视频道] 东方卫视
东方卫视 | 卫视频道 | 主 | http://218.13.170.98:9901/tsfile/live/1010_1.m3u8 | 1920x1080 256kbps
东方卫视 | 卫视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/29/live.m3u8 | 1920x1080 256kbps
东方卫视 | 卫视频道 | 备 | http://112.46.85.60:8009/hls/31/index.m3u8 | 1920x1080 256kbps
东方卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/29/live.m3u8 | 1920x1080 256kbps
东方卫视 | 卫视频道 | 备 | https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8 | 1280x720 0kbps

# [卫视频道] 北京卫视
北京卫视 | 卫视频道 | 主 | http://112.249.75.196:9989/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
北京卫视 | 卫视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0125_7.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
北京卫视 | 卫视频道 | 备 | http://182.150.23.74:808/hls/17/index.m3u8 | 1920x1080 256kbps
北京卫视 | 卫视频道 | 备 | http://61.178.227.57:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
北京卫视 | 卫视频道 | 备 | http://222.134.245.16:9901/tsfile/live/0122_1.m3u8 | 1920x1080 256kbps

# [卫视频道] 安徽卫视
安徽卫视 | 卫视频道 | 主 | http://59.39.89.130:60901/tsfile/live/0125_6.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
安徽卫视 | 卫视频道 | 备 | http://gmxw.7766.org:808/hls/40/index.m3u8 | 1920x1080 256kbps
安徽卫视 | 卫视频道 | 备 | http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
安徽卫视 | 卫视频道 | 备 | http://223.78.65.165:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
安徽卫视 | 卫视频道 | 备 | http://61.136.172.236:9901/tsfile/live/0130_1.m3u8 | 1920x1080 256kbps

# [卫视频道] 黑龙江卫视
黑龙江卫视 | 卫视频道 | 主 | http://218.13.170.98:9901/tsfile/live/1006_1.m3u8 | 1920x1080 256kbps
黑龙江卫视 | 卫视频道 | 备 | http://113.26.202.52:1299/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
黑龙江卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/38/live.m3u8 | 1920x1080 256kbps
黑龙江卫视 | 卫视频道 | 备 | http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
黑龙江卫视 | 卫视频道 | 备 | http://221.226.51.220:50081/newlive/live/hls/38/live.m3u8 | 1920x1080 128kbps

# [卫视频道] 辽宁卫视
辽宁卫视 | 卫视频道 | 主 | http://111.59.24.227:8181/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 384kbps
辽宁卫视 | 卫视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0125_13.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
辽宁卫视 | 卫视频道 | 备 | http://113.26.202.52:1299/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
辽宁卫视 | 卫视频道 | 备 | http://123.118.53.84:45237/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
辽宁卫视 | 卫视频道 | 备 | http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps

# [卫视频道] 深圳卫视
深圳卫视 | 卫视频道 | 主 | http://182.150.23.74:808/hls/20/index.m3u8 | 1920x1080 256kbps
深圳卫视 | 卫视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0125_11.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
深圳卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/37/live.m3u8 | 1920x1080 256kbps
深圳卫视 | 卫视频道 | 备 | http://221.7.175.154:8445/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
深圳卫视 | 卫视频道 | 备 | http://gmxw.7766.org:808/hls/45/index.m3u8 | 1920x1080 256kbps

# [卫视频道] 广东卫视
广东卫视 | 卫视频道 | 主 | https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4 | 1280x720 2054kbps
广东卫视 | 卫视频道 | 备 | http://113.57.140.161:10081/newlive/live/hls/34/live.m3u8 | 1920x1080 384kbps
广东卫视 | 卫视频道 | 备 | http://113.26.202.52:1299/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
广东卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/34/live.m3u8 | 1920x1080 256kbps
广东卫视 | 卫视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps

# [卫视频道] 天津卫视
天津卫视 | 卫视频道 | 主 | http://111.59.24.227:8181/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 384kbps
天津卫视 | 卫视频道 | 备 | http://182.150.23.74:808/hls/27/index.m3u8 | 1920x1080 256kbps
天津卫视 | 卫视频道 | 备 | http://221.7.175.154:8445/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
天津卫视 | 卫视频道 | 备 | http://112.46.85.60:8009/hls/44/index.m3u8 | 1920x1080 256kbps

# [卫视频道] 湖北卫视
湖北卫视 | 卫视频道 | 主 | http://113.57.140.161:10081/newlive/live/hls/36/live.m3u8 | 1920x1080 448kbps
湖北卫视 | 卫视频道 | 备 | http://113.26.202.52:1299/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
湖北卫视 | 卫视频道 | 备 | http://182.150.23.74:808/hls/28/index.m3u8 | 1920x1080 256kbps
湖北卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/36/live.m3u8 | 1920x1080 256kbps
湖北卫视 | 卫视频道 | 备 | http://221.226.51.220:50081/newlive/live/hls/36/live.m3u8 | 1920x1080 128kbps

# [卫视频道] 山东卫视
山东卫视 | 卫视频道 | 主 | http://223.78.65.165:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
山东卫视 | 卫视频道 | 备 | http://182.150.23.74:808/hls/23/index.m3u8 | 1920x1080 256kbps
山东卫视 | 卫视频道 | 备 | http://113.26.202.52:1299/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
山东卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/35/live.m3u8 | 1920x1080 256kbps
山东卫视 | 卫视频道 | 备 | http://123.130.84.106:8154/tsfile/live/0131_1.m3u8 | 1920x1080 256kbps

# [卫视频道] 重庆卫视
重庆卫视 | 卫视频道 | 主 | http://123.130.84.106:8154/tsfile/live/0142_1.m3u8 | 1920x1080 256kbps
重庆卫视 | 卫视频道 | 备 | http://221.7.175.154:8445/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
重庆卫视 | 卫视频道 | 备 | http://61.136.172.236:9901/tsfile/live/0142_1.m3u8 | 1920x1080 256kbps

# [卫视频道] 四川卫视
四川卫视 | 卫视频道 | 主 | https://live.264788.xyz/channel/sichuanweishi4k?streamid=401bf692a1a8b91298f26077d53316d6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk | 1920x1080 8334kbps
四川卫视 | 卫视频道 | 备 | http://182.150.23.74:808/hls/38/index.m3u8 | 1920x1080 448kbps
四川卫视 | 卫视频道 | 备 | http://111.59.24.227:8181/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 384kbps
四川卫视 | 卫视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0125_16.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
四川卫视 | 卫视频道 | 备 | http://221.7.175.154:8445/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps

# [卫视频道] 东南卫视
东南卫视 | 卫视频道 | 主 | http://221.226.51.220:50081/newlive/live/hls/20/live.m3u8 | 1920x1080 256kbps
东南卫视 | 卫视频道 | 备 | http://223.78.65.165:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
东南卫视 | 卫视频道 | 备 | http://58.56.162.102:4466/newlive/live/hls/20/live.m3u8 | 1920x1080 256kbps
东南卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/20/live.m3u8 | 1920x1080 256kbps
东南卫视 | 卫视频道 | 备 | http://123.130.84.106:8154/tsfile/live/0137_1.m3u8 | 1920x1080 256kbps

# [卫视频道] 河北卫视
河北卫视 | 卫视频道 | 主 | http://118.122.144.115:8888/newlive/live/hls/33/live.m3u8 | 1920x1080 256kbps
河北卫视 | 卫视频道 | 备 | http://113.57.140.161:10081/newlive/live/hls/33/live.m3u8 | 1920x1080 256kbps
河北卫视 | 卫视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/33/live.m3u8 | 1920x1080 256kbps
河北卫视 | 卫视频道 | 备 | http://61.136.172.236:9901/tsfile/live/0117_1.m3u8 | 1920x1080 256kbps
河北卫视 | 卫视频道 | 备 | http://221.226.51.220:50081/newlive/live/hls/33/live.m3u8 | 1920x1080 128kbps

# [卫视频道] 江西卫视
江西卫视 | 卫视频道 | 主 | https://live.264788.xyz/channel/jiangxiweishi?streamid=555198f31caa33506ac6abb70d788959&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk | 1920x1080 8334kbps
江西卫视 | 卫视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0125_10.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
江西卫视 | 卫视频道 | 备 | http://120.238.84.45:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
江西卫视 | 卫视频道 | 备 | http://123.130.84.106:8154/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
江西卫视 | 卫视频道 | 备 | http://drive.mxmy.net:8888/udp/239.3.1.123:8164 | 1920x1080 256kbps

# [上海频道] 新闻综合

# [上海频道] 第一财经

# [上海频道] 都市剧场

# [上海频道] 快乐垂钓
快乐垂钓 | 上海频道 | 主 | http://drive.mxmy.net:8888/udp/239.3.1.164:8001 | 1920x1080 192kbps

# [香港频道] 凤凰中文
凤凰中文 | 香港频道 | 主 | http://123.157.31.182:7912/rtp/233.50.202.35:5140 | 1920x1080 192kbps

# [英语频道] CGTN英语

# [英语频道] CGTN纪录

# [4K超清] 东方卫视4K

# [央视精品] 风云剧场
风云剧场 | 央视精品 | 主 | https://live.264788.xyz/channel/fengyunjuchang?streamid=31e7b5b7032d25dd215a4069cdee1a48&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk | 1920x1080 8334kbps

# [央视精品] 风云音乐
风云音乐 | 央视精品 | 主 | https://live.264788.xyz/channel/fengyunyinyue?streamid=be37d16b874e7ba11dd383d7ecd75752&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk | 1920x1080 8334kbps

# [央视精品] 兵器科技
兵器科技 | 央视精品 | 主 | https://live.264788.xyz/channel/bingqikeji?streamid=6fc55a0966bdad1e1cdf39a4d37dd776&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk | 1920x1080 8334kbps

# [央视精品] 女性时尚

# [其他频道] CHC高清电影

# [其他频道] CHC动作电影
CHC动作电影 | 其他频道 | 主 | http://120.198.86.186:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CHC动作电影 | 其他频道 | 备 | http://120.238.84.45:9901/tsfile/live/1094_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CHC动作电影 | 其他频道 | 备 | http://27.39.122.2:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps

# [其他频道] 四海钓鱼

# [其他频道] 游戏风云
游戏风云 | 其他频道 | 主 | http://123.157.31.182:7912/rtp/233.50.201.183:5140 | 1920x1080 256kbps
